type_of_reference,primary_title,paper_type,doi,authors,year,abstract,dataset
JOUR,a retrospective study of a calcium agent (e-ca) using data on bone mineral density obtained by dxa method,DXA only,,"['Takeuchi, Ryota', 'Uto, Yoshihiro', 'Nakagawa, Yoshinori', 'Hirota, Keiji', 'Terada, Hiroshi', 'Hori, Hitoshi']",2010,"AIM: We performed a retrospective analysis of a calcium hydroxide-containing calcium agent (TACHIKAWA DENKAI CALCIUM TM: E-Ca) based on data of bone mineral density obtained by dual-energy X-ray absorptiometry (DXA) to clarify the relationship between bone mineral density and E-Ca intake on an empty stomach in those who regularly use E-Ca., RESULTS: We found the percentage of volunteers with their age-matched (AM) values of above 100% to be 89%, and also a moderate positive correlation between AM values and the intake period of E-Ca., CONCLUSION: Our findings demonstrate that AM values can be used as an effective indicator assessing osteogenesis by regularly administrated calcium agents which exert their effects after long-term use.",ovid
JOUR,a survey of dual-energy x-ray absorptiometry (dexa) normal reference ranges used within the uk and their effect on patient classification,DXA only,10.1097/00006231-199512000-0,"['Simmons, A', ""O'Doherty, M J"", 'Barrington, S F', 'Coakley, A J']",1995,"Differences between dual-energy X-ray absorptiometry (DEXA) normal ranges can lead to patients being characterized as osteoporotic using one range and normal using another. To investigate the diversity of normal ranges used within the UK, a survey of all DEXA sites was carried out with a 60.6% response rate. The effect of the different ranges was evaluated by translating each range to an equivalent range for a Norland XR-26 system and applying the ranges to stratify a representative sample of over 1000 patients into grades of bone density based on percentages of age-matched mean BMD, Z-scores and T-scores. The effect of femoral neck and P/A spine L2-L4 regions was considered both separately and jointly. Large differences between the normal ranges were apparent, which resulted in the classification of the number of patients with a Z-score of less than -2.0 varying by a factor of more than 20 for the femoral neck and more than 3 for the spine. The number of patients defined as osteoporotic by a T-score less than -2.5 varied from none to over one-third of patients for the hip and by a factor of almost 3 for the spine. The exclusion criteria used for construction of the normal ranges varied markedly with none constructed using population-based sampling. Smoothing of normal ranges was carried out by DEXA manufacturers, while local normal ranges made use of raw unprocessed data. There is reason to question the validity of such processing. We recommend the construction of a unified UK normal range applicable to all UK DEXA systems in order to harmonize patient management and care.",ovid
JOUR,abdominal fat from spine dual-energy x-ray absorptiometry and risk for subsequent diabetes,DXA only,10.1210/jc.2009-2794,"['Leslie, William D', 'Ludwig, Sora M', 'Morin, Suzanne']",2010,"CONTEXT: Abdominal obesity is a major risk factor for diabetes. Dual-energy x-ray absorptiometry (DXA) of the lumbar spine provides an index of abdominal fat., OBJECTIVE: Our objective was to examine the hypothesis that DXA-derived abdominal fat measurement in women undergoing osteoporosis investigation predicts risk for subsequent diagnosis of diabetes., DESIGN: This historical cohort study was derived from the Manitoba Bone Density Program Database for the Province of Manitoba, Canada., SETTING AND PATIENTS: 30,252 nondiabetic women aged 40 yr and older were referred for baseline osteoporosis assessment with DXA between January 1990 and March 2007., MAIN OUTCOME MEASURES: Each woman's longitudinal provincial health service record was assessed for the presence of diabetes diagnosis codes after DXA testing., RESULTS: During 5.2 + or - 2.6 yr of observation, 1252 (4.1%) women met the case definition for diabetes. A greater proportion of abdominal fat from spine DXA was strongly related to subsequent diabetes diagnosis in models adjusted for age, body mass index, and other comorbidities. Those in the highest quintile had 3.56 (95% confidence interval = 2.67-4.75) times the risk for subsequent diabetes diagnosis compared with those in the lowest (reference) quintile. Fat from hip DXA was not predictive of subsequent diabetes after adjustment for the same variables (1.00, 95% confidence interval = 0.79-1.26)., CONCLUSIONS: Predictive information about diabetes risk can be obtained from spine DXA scans performed for osteoporosis risk assessment. This is consistent with evidence linking abdominal fat with insulin resistance and the metabolic syndrome.",ovid
JOUR,access to osteoporosis treatment is critically linked to access to dual-energy x-ray absorptiometry testing,DXA only,10.1097/MLR.0b013e318054689f,"['Cadarette, Suzanne M', 'Gignac, Monique A M', 'Jaglal, Susan B', 'Beaton, Dorcas E', 'Hawker, Gillian A']",2007,"OBJECTIVE: To determine if inequities in access to osteoporosis investigation [dual-energy x-ray absorptiometry (DXA) testing] and treatment (bisphosphonate, calcitonin, and/or raloxifene) exist among older women in a region with universal health care coverage., METHODS: Community-dwelling women aged 65-89 years residing within 2 regions of Ontario, Canada were randomly sampled. Data were collected by standardized telephone interview. Potential correlates of DXA testing (verified by physician records), and current treatment were grouped by type as: ""predisposing characteristics,"" ""enabling resources,"" or ""need factors"" based on hypothesized relationships formulated before data collection. Variables associated with each outcome independent of ""need factors"" identified inequities in the system., RESULTS: Of the 871 participants (72% response rate), 55% had been tested by DXA and 20% were receiving treatment. Using multiple variable logistic regression to adjust for need factors, significant inequities in access to DXA testing existed by age, health beliefs, education, income, use of preventive health services, region, and provider sex. DXA testing mediated access to treatment; 34% of those having had a DXA were treated compared with 2% of those who did not. Among women with osteoporosis, correctly reporting that their DXA test indicated osteoporosis and higher perceived benefits of taking pharmacological agents for osteoporosis were associated with treatment., CONCLUSIONS: Significant inequities in access to fracture prevention exist in a region with universal health care coverage. Improved access to DXA and better communication to patients of both their DXA results and the benefits of treatment has the potential to reduce the burden of osteoporosis.",ovid
JOUR,accuracy and reliability of assessing lateral compartmental leg composition using dual-energy x-ray absorptiometry,DXA only,10.1249/MSS.0000000000001168,"['Raymond, Christiana J', 'Bosch, Tyler A', 'Bush, Foster K', 'Chow, Lisa S', 'Dengel, Donald R']",2017,"PURPOSE: This study aimed to investigate the accuracy and reliability of a novel dual-energy x-ray absorptiometry (DXA) scanning method in the frontal plane for total, fat, and lean mass quantification of the anterior and posterior upper leg compartments., METHODS: Twenty-one (11 females; Xage = 20.3 +/- 1.3 yr) college athletes were assessed for total and regional body composition using DXA. The segmentation of anterior/posterior thigh compartments was measured with participants lying on their right and left sides and the scanned leg elevated with two foam pads. Custom regions of interest (ROIs) were created manually with enCore software for each scan using bony landmarks to quantify lean, fat, and total masses. Paired t-tests assessed this novel positioning method's accuracy against standard positioning. Intraclass correlation coefficients and coefficients of variation examined inter- and intrarater reliability for lateral scan measures of total, fat, and lean masses from manually created ROIs., RESULTS: All mean +/- SD differences between frontal and lateral DXA scans of right (R) and left (L) leg total mass (R: 8.42 +/- 195.57 g; L: 19.47 +/- 131.80 g), fat mass (R: 61.26 +/- 215.66 g; L: -5.89 +/- 239.97 g), and lean mass (R: -103.00 +/- 302.54 g; L: -27.58 +/- 288.14 g) were nonsignificant (P value range = 0.15-0.91). Intraclass correlation coefficients were high for all composition measures between and within raters, ranging from 0.983 to 0.999 and from 0.954 to 0.999, respectively, with low variation across measures (all coefficients of variation <= 5%)., CONCLUSION: The results of this study suggest that DXA measures using lateral subject positioning and custom ROIs to assess upper leg total, fat, and lean masses are accurate and reliable compared with total-body frontal subject positioning. Future studies are needed to determine the clinical usefulness of lateral view measures regarding prevention or rehabilitation of sports- or age-related injury.",ovid
JOUR,"accuracy of dxa scanning of the thoracic spine: cadaveric studies comparing bmc, areal bmd and geometric estimates of volumetric bmd against ash weight and ct measures of bone volume",DXA only,10.1007/s00586-004-0836-8,"['Sran, Meena M', 'Khan, Karim M', 'Keiver, Kathy', 'Chew, Jason B', 'McKay, Heather A', 'Oxland, Thomas R']",2005,"Biomechanical studies of the thoracic spine often scan cadaveric segments by dual energy X-ray absorptiometry (DXA) to obtain measures of bone mass. Only one study has reported the accuracy of lateral scans of thoracic vertebral bodies. The accuracy of DXA scans of thoracic spine segments and of anterior-posterior (AP) thoracic scans has not been investigated. We have examined the accuracy of AP and lateral thoracic DXA scans by comparison with ash weight, the gold-standard for measuring bone mineral content (BMC). We have also compared three methods of estimating volumetric bone mineral density (vBMD) with a novel standard-ash weight (g)/bone volume (cm3) as measured by computed tomography (CT). Twelve T5-T8 spine segments were scanned with DXA (AP and lateral) and CT. The T6 vertebrae were excised, the posterior elements removed and then the vertebral bodies were ashed in a muffle furnace. We proposed a new method of estimating vBMD and compared it with two previously published methods. BMC values from lateral DXA scans displayed the strongest correlation with ash weight (r=0.99) and were on average 12.8% higher (p<0.001). As expected, BMC (AP or lateral) was more strongly correlated with ash weight than areal bone mineral density (aBMD; AP: r=0.54, or lateral: r=0.71) or estimated vBMD. Estimates of vBMD with either of the three methods were strongly and similarly correlated with volumetric BMD calculated by dividing ash weight by CT-derived volume. These data suggest that readily available DXA scanning is an appropriate surrogate measure for thoracic spine bone mineral and that the lateral scan might be the scan method of choice.",ovid
JOUR,accuracy of octa-polar bioelectrical impedance analysis for the assessment of total and appendicular body composition in children and adolescents with hiv: comparison with dual energy x-ray absorpti,DXA only,10.1111/jhn.12501,"['de Castro, J A C', 'de Lima, L R A', 'Silva, D A S']",2018,"BACKGROUND: Body composition analysis has been used to investigate fat mass (FM) and bone mineral content (BMC) in children and adolescents diagnosed with HIV. Investigating the validity of bioelectrical impedance analysis (BIA) is interesting with respect to testing useful techniques for monitoring body composition in children and adolescents in clinical practice. The present study aimed to determine the validity of body composition analysis by BIA compared to dual-energy X-ray absorptiometry (DXA) and air displacement plethysmography (ADP) in children and adolescents an HIV diagnosis., METHODS: Sixty-four children and adolescents (35 females and 29 males) with a mean (SD) age of 12.22 (2.13) years and with an HIV diagnosis participated in the study. Fat-free mass (FFM), FM and body fat percentage (%BF) were obtained by BIA for comparison with DXA and ADP. Segmented FM (trunk, legs and arms), lean soft tissue mass (LSTM) (total and segmented) and BMC were obtained by BIA for comparison with DXA., RESULTS: BIA presented a clinically acceptable correlation with DXA and ADP for FFM. Values found by BIA were underestimated compared to ADP, and overestimated compared to DXA. BIA presented a clinically acceptable correlation with DXA for LSTM estimates (total and segmented parameters) in both sexes (underestimating FM and overestimating LSTM). For other components (%BF, FM and BMC), BIA had a clinically unacceptable correlation with the reference methods in both sexes., CONCLUSIONS: BIA was suitable for evaluating FFM and LSTM in children and adolescents with an HIV diagnosis. For FM, %BF and BMC, BIA was not suitable for performing an evaluation in both sexes. Copyright © 2017 The British Dietetic Association Ltd.",ovid
JOUR,added values of dxa-derived visceral adipose tissue to discriminate cardiometabolic risks in pre-pubertal children,DXA only,10.1371/journal.pone.0233053,"['Lee, Li-Wen', 'Hsieh, Chu-Jung', 'Wu, Yun-Hsuan', 'Liao, Yu-San']",2020,"BACKGROUND: The new generation of dual energy X-ray absorptiometry (DXA) scanners provide visceral adipose tissue (VAT) estimates by applying different algorithms to the conventional DXA-derived fat parameters such as total fat, trunk fat and android fat for the same image data., OBJECTIVE: This cross-sectional study aimed to investigate whether VAT estimates from Hologic scanners are better predictors of VAT than conventional DXA parameters in pre-pubertal children, and to explore the discrimination ability of these VAT methods for cardiometabolic risks., METHODS: Healthy pre-pubertal children aged 7-10 years were recruited for basic anthropometric, DXA and magnetic resonance imaging (MRI) measurements. Laboratory tests included lipid profile, glycaemic tests and blood pressure., RESULTS: All VAT methods had acceptable to excellent performance for the diagnosis of dyslipidaemia (area under the curve [AUC] = 0.753-0.837) and hypertensive risk (AUC = 0.710-0.821) in boys, but suboptimal performance for these risks in girls, except for VAT by MRI in the diagnosis of dyslipidaemia. In both sexes, all VAT methods had no or poor discrimination ability for diabetes risk., CONCLUSIONS: DXA-derived VAT estimates are very highly correlated with standard methods but has equivalent discrimination abilities compared to the existing DXA-derived fat estimates.",ovid
JOUR,adiposity estimated using dual energy x-ray absorptiometry and body mass index and its association with cognition in elderly adults,DXA only,10.1111/jgs.13157,"['Smith, Evelyn', 'Bailey, Phoebe E', 'Crawford, John', 'Samaras, Katherine', 'Baune, Bernhard T', 'Campbell, Lesley', 'Kochan, Nicole', 'Menant, Jasmine', 'Sturnieks, Daina L', 'Brodaty, Henry', 'Sachdev, Perminder', 'Trollor, Julian N']",2014,"OBJECTIVES: To determine whether obesity, estimated according to body mass index (BMI), waist circumference, and body fat and abdominal fat assessed using dual-energy X-ray absorptiometry (DEXA), was associated with cognitive performance., DESIGN: Cross-sectional., SETTING: Community based., PARTICIPANTS: Individuals aged 74-94 (N = 406)., MEASUREMENTS: BMI, waist circumference, body fat, and abdominal fat were assessed using DEXA. Cognitive performance was assessed using a comprehensive neuropsychological battery., RESULTS: When categorized using BMI, overweight individuals had higher global cognitive function and executive function scores than normal-weight individuals. This relationship did not differ according to sex. When categorized according to DEXA, there were no relationships between body fat and cognitive function in the whole group, but women in the middle and highest tertiles of DEXA body fat had better executive function than those in the lowest tertile. Men in the middle tertile of DEXA body fat had significantly better executive function and memory than those in the lowest tertile. BMI had greater power to predict executive function than DEXA body fat. No significant associations were found between cognition and estimates of abdominal adiposity., CONCLUSION: This study found an association between being overweight and better executive function in elderly adults; this association was stronger for the simpler BMI than the more-elaborate DEXA measures. © 2014, Copyright the Authors Journal compilation © 2014, The American Geriatrics Society.",ovid
JOUR,agreement between bioelectrical impedance and dual-energy x-ray absorptiometry to track changes in fat-free mass after resistance training in older women,DXA only,10.1519/JSC.0000000000002581,"['Nascimento, Matheus A', 'Silva, Danilo R P', 'Ribeiro, Alex S', 'Pina, Fabio L C', 'Gerage, Aline M', 'Gobbo, Luis A', 'Mayhew, Jerry L', 'Cyrino, Edilson S']",2020,"Nascimento, MA, Silva, DRP, Ribeiro, AS, Pina, FLC, Gerage, AM, Gobbo, LA, Mayhew, JL, and Cyrino, ES. Agreement between bioelectrical impedance and dual-energy x-ray absorptiometry to track changes in fat-free mass after resistance training in older women. J Strength Cond Res 34(6): 1700-1708, 2020-The aim of our study was to compare the agreement between bioelectrical impedance (BIA) and dual-energy X-ray absorptiometry (DXA) to track changes on fat-free mass (FFM) after a resistance training (RT) program in older women. Forty-three older women (65.2 +/- 4.6 years, 59.5 +/- 9.2 kg, 156.4 +/- 6.0 cm, 24.3 +/- 3.3 kg.m) participated in a RT intervention (12 weeks, 8 exercises, 2 sets, 10-15 repetitions, 3 nonconsecutive days per week). Fat-free mass changes were determined by a single-frequency BIA device (EQ1), 6 BIA prediction equations for older women (EQ2, EQ3, EQ4, EQ5, EQ6, and EQ7), and DXA. At pretraining, 3 equations overpredicted, and 3 underpredicted DXA FFM (F = 244.63, p < 0.001), although all equations had high correlations with DXA (r = 0.78-0.83). After training, 4 equations overpredicted and one underpredicted DXA FFM (F = 176.25, p < 0.001). Dual-energy X-ray absorptiometry detected significant gains in FFM (0.65 +/- 0.82 kg; p < 0.05), as did EQ3 (0.55 +/- 1.69 kg; p < 0.05), and EQ4 (0.61 +/- 1.88 kg; p < 0.05), whereas the remaining equations did not indicate significant changes in FFM. Low correlations between FFM and equation change values suggest that single-frequency BIA-derived equations may not provide sufficient accuracy to track changes in FFM after 12 weeks of RT in older women.",ovid
JOUR,agreement between dual-energy x-ray absorptiometry and bioelectric impedance analysis for assessing body composition in athletes: a systematic review and meta-analysis,DXA only,10.1097/JSM.0000000000001136,"['Dzator, Stephen', 'Weerasekara, Ishanka', 'Shields, Melissa', 'Haslam, Rebecca', 'James, Daphne']",2023,"OBJECTIVE: To compare dual-energy x-ray absorptiometry (DXA) and bioelectric impedance analysis (BIA) in the assessment of body composition in athletes., DATA SOURCES: A systematic review and meta-analysis was conducted collating peer-reviewed studies that compared BIA with DXA for the assessment of body composition in athletes that indexed in MEDLINE, CINAHL, EMBASE, and PsycINFO databases., MAIN RESULTS: After duplicate removal, 267 articles remained for full-text screening. Sixty-three studies remained for the final inclusion, with 8 focused on athletes (n = 461). Five studies were included in the meta-analysis and were rated as positive after risk of bias assessment, whereas the remaining were neutral. BIA overestimated fat-free mass (FFM) over DXA 2.78 (1.38-4.18) (mean difference +/- 95% CI) with an effect size of 3.9( P < 0.001)., CONCLUSIONS: BIA was found to overestimate total FFM when compared with DXA. Correlations are high between BIA and DXA; however, the limits of agreement are wide. Hence, BIA may not be a suitable substitute for DXA body composition scanning of athletes. Because of the low level of ionizing radiation exposure, the use of DXA should always be medically justified, and therefore, it is not recommended for repeat, longitudinal measurements in healthy subjects. We recommend that clinicians do not use BIA interchangeably with DXA in the assessment of body composition in athletes. Considerations should be made over the safety and appropriateness of DXA in young healthy adults. For long-term use, BIA can be warranted for athletes.PROSPERO Registration Number: CRD42020183777. Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved.",ovid
JOUR,agreement between supine and standing bioimpedance spectroscopy devices and dual-energy x-ray absorptiometry for body composition determination,DXA only,10.1111/cpf.12585,"['Esco, Michael R', 'Fedewa, Michael V', 'Freeborn, Todd J', 'Moon, Jordan R', 'Wingo, Jonathan E', 'Cicone, Zack', 'Holmes, Clifton J', 'Hornikel, Bjoern', 'Welborn, Bailey']",2019,"BACKGROUND: Research comparing bioimpedance spectroscopy (BIS) to dual-energy X-ray absorptiometry (DXA) is limited, especially with newer BIS devices that take measures in a standing position instead of the traditional supine position., PURPOSE: The purpose of this study was to compare a standing BIS device (BISSTA ) and a supine BIS device (BISSUP ) to DXA for measuring body fat percentage (BF%), fat mass (FM) and fat-free mass (FFM) in a cohort of male and female subjects displaying a wide range of ages and BMI levels., METHODS: Ninety-five subjects (30 +/- 15 years, 170 +/- 8.0 cm, 72.6 +/- 14.8 kg) participated in the study. Body composition measures were taken from BISSTA , BISSUP and DXA during a single visit to the laboratory following an 8- to 12-h fast in a euhydration state., RESULTS: Supine BIS device and BISSTA produced r-values >0.91 and low SEE values for all measurements compared to DXA. Effect sizes were 'trivial' for FFM comparing both BISSUP and BISSTA to DXA (<0.1) and 'small' for FM and BF% (<0.39). Compared to DXA, BISSTA resulted in lower total (TE) and constant errors/mean differences (CE) (TE < 3.6 kg, CE < -1.82 kg) versus BISSUP (TE < 4.35 kg, CE < -3.10 kg) for FFM., CONCLUSION: Fat-free mass values for BISSTA resulted in the most comparable measurements to DXA with no mean differences and the lowest total error and effect size. However, the findings indicated both BIS devices may be acceptable alternatives to DXA for BF%, FM and FFM in clinical practice. Copyright © 2019 Scandinavian Society of Clinical Physiology and Nuclear Medicine. Published by John Wiley & Sons Ltd.",ovid
JOUR,"air displacement plethysmography versus dual-energy x-ray absorptiometry in underweight, normal-weight, and overweight/obese individuals",DXA only,10.1371/journal.pone.0115086,"['Lowry, David W', 'Tomiyama, A Janet']",2015,"BACKGROUND: Accurately estimating fat percentage is important for assessing health and determining treatment course. Methods of estimating body composition such as hydrostatic weighing or dual-energy x-ray absorptiometry (DXA), however, can be expensive, require extensive operator training, and, in the case of hydrostatic weighing, be highly burdensome for patients. Our objective was to evaluate air displacement plethysmography via the Bod Pod, a less burdensome method of estimating body fat percentage. In particular, we filled a gap in the literature by testing the Bod Pod at the lower extreme of the Body Mass Index (BMI) distribution., FINDINGS: Three BMI groups were recruited and underwent both air displacement plethysmography and dual-energy x-ray absorptiometry. We recruited 30 healthy adults at the lower BMI distribution from the Calorie Restriction (CR) Society and followers of the CR Way. We also recruited 15 normal weight and 19 overweight/obese healthy adults from the general population. Both Siri and Brozek equations derived body fat percentage from the Bod Pod, and Bland-Altman analyses assessed agreement between the Bod Pod and DXA. Compared to DXA, the Bod Pod overestimated body fat percentage in thinner participants and underestimated body fat percentage in heavier participants, and the magnitude of difference was larger for underweight BMI participants, reaching 13% in some. The Bod Pod and DXA had smaller discrepancies in normal weight and overweight/obese participants., CONCLUSIONS: While less burdensome, clinicians should be aware that Bod Pod estimates may deviate from DXA estimates particularly at the lower end of the BMI distribution.",ovid
JOUR,an evaluation of forearm bone mineral measurement with dual-energy x-ray absorptiometry,DXA only,,"['Larcos, G', 'Wahner, H W']",1991,"Dual-energy x-ray absorptiometry (DEXA) has been reported to be a valuable means of bone mineral measurement of the lumbar spine and hip. In order to determine whether DEXA could be as useful for bone mineral analysis of the forearm, we compared its accuracy, precision and measurement performance to single-photon absorptiometry (SPA). There was high correlation between these techniques for integral bone mineral density in standard aluminum tubes (r = 0.99) and 30 adult volunteers or patients with osteoporosis (r = 0.95). The mean short-term precision of DEXA was 0.9% in vitro and about 1.5% in vivo. DEXA produced excellent bone images which enhance long-term in vivo precision. The measurement performance of both instruments was largely unaffected by localized fat deposits or increases in forearm thickness or proportion of fat subcutaneously. We conclude that DEXA is a clinically useful alternative to SPA for forearm bone mineral assessment.",ovid
JOUR,analysis of dual-energy x-ray absorptiometry images using computer vision methods,DXA only,,"['Kirilov, N']",2020,,goog
JOUR,anthropometric variables accurately predict dual energy x-ray absorptiometric-derived body composition and can be used to screen for diabetes,DXA only,10.1371/journal.pone.0024017,"['Yavari, Reza', 'McEntee, Erin', 'McEntee, Michael', 'Brines, Michael']",2011,"The current world-wide epidemic of obesity has stimulated interest in developing simple screening methods to identify individuals with undiagnosed diabetes mellitus type 2 (DM2) or metabolic syndrome (MS). Prior work utilizing body composition obtained by sophisticated technology has shown that the ratio of abdominal fat to total fat is a good predictor for DM2 or MS. The goals of this study were to determine how well simple anthropometric variables predict the fat mass distribution as determined by dual energy x-ray absorptometry (DXA), and whether these are useful to screen for DM2 or MS within a population. To accomplish this, the body composition of 341 females spanning a wide range of body mass indices and with a 23% prevalence of DM2 and MS was determined using DXA. Stepwise linear regression models incorporating age, weight, height, waistline, and hipline predicted DXA body composition (i.e., fat mass, trunk fat, fat free mass, and total mass) with good accuracy. Using body composition as independent variables, nominal logistic regression was then performed to estimate the probability of DM2. The results show good discrimination with the receiver operating characteristic (ROC) having an area under the curve (AUC) of 0.78. The anthropometrically-derived body composition equations derived from the full DXA study group were then applied to a group of 1153 female patients selected from a general endocrinology practice. Similar to the smaller study group, the ROC from logistical regression using body composition had an AUC of 0.81 for the detection of DM2. These results are superior to screening based on questionnaires and compare favorably with published data derived from invasive testing, e.g., hemoglobin A1c. This anthropometric approach offers promise for the development of simple, inexpensive, non-invasive screening to identify individuals with metabolic dysfunction within large populations.",ovid
JOUR,"anthropometry, bioelectrical impedance and dual-energy x-ray absorptiometry in the assessment of body composition in elderly finnish women",DXA only,10.1046/j.1475-097x.2002.004,"['Haapala, Irja', 'Hirvonen, Anu', 'Niskanen, Leo', 'Uusitupa, Matti', 'Kroger, Heikki', 'Alhava, Esko', 'Nissinen, Aulikki']",2002,"In this study, the bioelectrical impedance analysis (BIA), skinfold thickness measurement (STM) and dual-energy X-ray absorptiometry (DXA), as a reference method, were compared with each other in the assessment of body composition in elderly (62-72-year-old) Finnish women (n=93). BIA had better agreement with DXA in the assessment of fat free mass (FFM, R2=0.70, Sres=2.1) and fat mass (FM, R2=0.93, Sres=2.3) than the STM (FFM, R2=0.62, Sres=2.4; FM, R2=0.89,Sres=2.8). There was quite a large variation in the estimates when different BIA prediction equations were used. The equation developed in this study, FFM (kg)=-128.06 + 1.85 x BMI-0.63 x weight + 1.07 x height - 0.03 x resistance +10.0 x waist-hip ratio, yielded a small and unbiased error (0.5 +/- 1.6 kg), with a small residual standard deviation (R2=0.83, Sres=1.6). However, error associated with the estimate of FM was positively related to the degree of FM. BIA(Heitmann) equation yielded unbiased estimates of both FFM and FM (FFM, R2=0.77, Sres=1.8; FM, R2=0.95, Sres=1.9). Both the STM and BIA (manufacturer's equation) resulted in error which was statistically significant and positively correlated with FFM and FM. These results indicate that BIA prediction equations, chosen with care, can improve the performance of equations based upon anthropometric measurements alone in the assessment of body composition in elderly women.",ovid
JOUR,appendicular body composition analysis: validity of bioelectrical impedance analysis compared with dual-energy x-ray absorptiometry in division i college athletes,DXA only,10.1519/JSC.0000000000003374,"['Brewer, Gabrielle J', 'Blue, Malia N M', 'Hirsch, Katie R', 'Peterjohn, Austin M', 'Smith-Ryan, Abbie E']",2019,"Brewer, GJ, Blue, MNM, Hirsch, KR, Peterjohn, AM, and Smith-Ryan, AE. Appendicular body composition analysis: Validity of bioelectrical impedance analysis compared with dual-energy x-ray absorptiometry in Division I college athletes. J Strength Cond Res 33(11): 2920-2925, 2019-The purpose of this study was to evaluate validity of appendicular body composition measurements measured from a multifrequency bioelectrical impedance analysis (MF-BIA) compared with a dual-energy x-ray absorptiometry (DXA) criterion in Division I athletes. One hundred sixty male (n = 44) and female (n = 116) collegiate athletes were enrolled: Men's Cross Country (n = 15), football linemen (n = 29), Women's Soccer (n = 27), Women's Field Hockey (n = 27), Women's Cross Country (n = 13), Women's Gymnastics (n = 16), and Women's Lacrosse (n = 33). Appendicular fat mass (FM) of the arms (AFM, right AFM, left AFM) and legs (LFM, right LFM, left LFM), appendicular fat-free mass (FFM) of the arms (AFFM, RAFFM, LAFFM) and legs (LFFM, RLFFM, LLFFM), total body FM and FFM, and total body %fat were collected from both devices. MF-BIA significantly underestimated appendicular FFM of the arms (AFFM mean difference [MD]: -0.7 kg; RAFFM: -0.4 kg; LAFFM: -0.4 kg, p < 0.001) and legs (LFFM MD: -3.8 kg; RLFFM: -1.9 kg; LLFFM: -1.9 kg, p < 0.001), and FM of the legs (LFM MD: -2.5 kg; RLFM: -1.3 kg; LLFM: -1.3 kg, p < 0.001). There was no significant difference in appendicular FM measures of the arms (p = 0.174). All measures held true for male subjects and female subjects. Female subjects produced smaller differences compared with male subjects. The lack of validity, from raw and relative error, between the devices for most appendicular measures (FFM of arms and FFM and FM legs) and all total body measures (FM, FFM, and %fat) suggest that this MF-BIA may not be accurate in measuring a lean, athletic, population compared with DXA.",ovid
JOUR,application of a model based on dual-energy x-ray absorptiometry and finite element simulation for predicting the probability of osteoporotic hip fractures to a sample of people over 60 years,DXA only,10.1177/0954411915583730,"['Lopez, Enrique', 'Casajus, Jose A', 'Ibarz, Elena', 'Gomez-Cabello, Alba', 'Ara, Ignacio', 'Vicente-Rodriguez, German', 'Mateo, Jesus', 'Herrera, Antonio', 'Gracia, Luis']",2015,"The aim of this work is the application of a mechanical predictive model to a sample of people over 60 years of age, in order to analyze the fracture probability related to age and sex. A total of 223 elderly people (63 men, aged 63-88, 72.32+/-6.10; 157 women, aged 61-89, 73.28+/-5.73) participated in the study. A dual-energy X-ray absorptiometry scanner was used to measure the bone mineral content and bone mineral density at total hip and femoral neck. The application of the predictive model also required a finite element simulation of the proximal femur, obtaining the mechanical damage and fracture probability maps corresponding to each sex and age groups analyzed. Statistical analysis shows higher values of bone mineral density, and consequently of Young's modulus, for men than for women. In general, a decrease of BMD is observed since 65 years old. The maximum mechanical damage value is always located at the femoral neck. The results indicate that mechanical damage tends to increase with age. Coherently with mechanical damage, the maximum fracture probability value is always located at the femoral neck and tends to increase with age. The simulation model to determine the probability of fracture is more complete than the simple measurement of bone mineral density, because provides additional information about mechanical properties of bone, and allows for a prospective detection of fracture risk. The model may be used for risk evaluation in specific patients, if anatomical and dual-energy X-ray absorptiometry measurements are available, helping us to decide about preventive pharmacological treatment for hip fracture. Copyright © IMechE 2015.",ovid
JOUR,are adult patients with laron syndrome osteopenic? a comparison between dual-energy x-ray absorptiometry and volumetric bone densities,DXA only,10.1210/jc.2003-030623,"['Benbassat, Carlos A', 'Eshed, Varda', 'Kamjin, Moshe', 'Laron, Zvi']",2003,"Severe short stature resulting from a deficiency in IGF-I is a prominent feature of Laron syndrome (LS). Although low bone mineral density (BMD) has been noted in LS patients examined by dual energy x-ray absorptiometry (DEXA), this technique does not take volume into account and may therefore underestimate the true bone density in patients with small bones. The aim of the present study was to evaluate the BMD yielded by DEXA in our LS patients using estimated volumetric values. Volumetric density was calculated with the following formulas: bone mineral apparent density (BMAD) = bone mineral content (BMC)/(area)(3/2) for the lumbar spine and BMAD = BMC/area(2) for the femoral neck. The study sample included 12 patients (mean age, 43.9 yr; mean height, 123.7 cm). Findings were compared with 10 osteopenic subjects without developmental abnormalities (mean age, 56 yr; mean height, 164.8 cm) and 10 healthy control subjects matched for sex and age to the LS patients (mean height, 165.5 cm). BMAD in the LS group was 0.201 +/- 0.02 g/cm(3) at the lumbar spine and 0.201 +/- 0.04 g/cm(3) at the femoral neck; corresponding values for the osteopenic group were 0.130 +/- 0.01 and 0.140 +/- 0.01 g/cm(3), and for the controls, 0.178 +/- 0.03 and 0.192 +/- 0.02 g/cm(3). Although areal BMD was significantly lower in the LS and osteopenic subjects compared with controls (P < 0.02) at both the lumbar spine and femoral neck, BMAD was low (P < 0.01) in the osteopenic group only. In conclusion, DEXA does not seem to be a reliable measure of osteoporosis in patients with LS.",ovid
